Fruit,City,Market_Type,Quality,Season,Supply_Level,Demand_Level,Transport_Cost,Price_per_kg
Pineapple,Chennai,Wholesale,Average,Winter,1.3952752369197305,1.056666202282873,6.999498316360057,24.0
Pomegranate,Ahmedabad,Mandi,Good,Summer,1.7486639612006325,0.8698712885426209,8.636499344142013,85.34
Grapes,Mumbai,Retail,Good,Summer,0.9368437102970628,1.1894823157779035,7.789877213040837,181.78
Orange,Pune,Wholesale,Average,Summer,0.7557861855309373,0.7520412743882235,23.977710745066666,57.36
Banana,Lucknow,Wholesale,Good,Summer,0.8615381990390176,1.2466108150603665,17.199933155652417,59.91
Apple,Chennai,Retail,Good,Monsoon,1.3200654190149195,0.8478835644204216,24.391692555291172,120.26
Watermelon,Delhi,Retail,Good,Spring,1.8828113525346752,0.7707940016415356,8.919657248382904,23.76
Banana,Kolkata,Retail,Premium,Spring,0.913998773033815,0.9370188045632659,8.30533878126005,72.74
Guava,Pune,Wholesale,Premium,Spring,0.5211197340726267,0.859073923271044,19.226839054973,103.12
Watermelon,Pune,Retail,Premium,Spring,1.4349471902413369,0.9647184198821193,6.271167005720473,36.48
Pineapple,Ahmedabad,Wholesale,Average,Spring,1.8308191138644898,1.0777719401295593,7.391884918766034,27.73
Watermelon,Pune,Mandi,Good,Winter,1.565994334528681,0.788712656649465,13.786730037315403,26.49
Orange,Pune,Wholesale,Premium,Spring,0.7089971816088135,1.1835339034222538,15.796821826033462,130.53
Banana,Lucknow,Wholesale,Good,Summer,1.1848018557243654,0.8747523497734668,13.330198957407324,37.56
Watermelon,Pune,Wholesale,Average,Monsoon,0.8419027438129125,1.041686230901005,21.36029531844986,35.36
Grapes,Mumbai,Mandi,Good,Spring,0.7524365632593959,0.8750113756584561,16.162040040346824,150.99
Mango,Mumbai,Retail,Premium,Monsoon,0.8776734437380462,1.0977988047139084,11.017566196335393,216.02
Papaya,Pune,Wholesale,Premium,Summer,0.7173423081368346,1.0915622082220504,24.713009082212015,83.13
Pineapple,Chennai,Mandi,Average,Spring,1.5923245229177894,0.9942265061754025,17.64611661187159,40.71
Apple,Jaipur,Mandi,Good,Spring,1.3863394147823627,1.242051489473826,5.331756578557123,120.49
Orange,Bangalore,Mandi,Premium,Summer,1.2766270257912202,1.3701680847258624,18.513802340785617,113.56
Watermelon,Bangalore,Mandi,Good,Spring,1.2944758675340098,0.8934818327203613,6.862055356117985,28.88
Grapes,Kolkata,Mandi,Average,Summer,1.550536744959157,1.3773289137906448,22.126485837561848,96.49
Mango,Mumbai,Retail,Good,Winter,1.9102001636866677,1.478931069404254,10.678419494749313,96.23
Banana,Delhi,Retail,Average,Spring,0.7638878790160181,0.7144602908924167,14.877874303668692,60.85
Pomegranate,Pune,Mandi,Premium,Spring,0.6405121517421387,0.9941726424475468,10.304047353634509,305.98
Papaya,Hyderabad,Wholesale,Average,Monsoon,1.151591548265643,0.9800627261557405,17.902067240611295,40.55
Orange,Chennai,Mandi,Premium,Spring,1.9106878765293716,1.4631428616020699,23.29728780440897,80.75
Orange,Jaipur,Wholesale,Premium,Summer,1.3584387037562575,1.4842652669728365,6.506925120122564,71.61
Apple,Bangalore,Retail,Premium,Monsoon,1.5440446950124596,1.156048936071492,6.94352987541537,185.03
Papaya,Pune,Retail,Average,Winter,0.9838261463579008,1.3789358359397395,7.732426628840576,53.98
Watermelon,Pune,Retail,Average,Monsoon,1.869860828834707,1.1090739190887502,15.030325893743992,33.16
Mango,Mumbai,Retail,Good,Spring,0.5414251578105571,1.163091916406047,13.76948246036174,273.18
Watermelon,Hyderabad,Retail,Good,Monsoon,0.5582521016441349,0.9426124117385782,15.74164854393311,65.79
Grapes,Mumbai,Wholesale,Premium,Winter,0.5775225817529115,1.1250837052545184,15.81270243220213,248.32
Banana,Lucknow,Retail,Average,Summer,1.1502811063711131,1.2952341143992923,10.017210546933224,54.87
Watermelon,Kolkata,Retail,Average,Winter,1.113429416621405,0.8386354560566766,8.128740853421721,27.42
Guava,Ahmedabad,Wholesale,Premium,Summer,1.6068453750436529,1.1434832420091205,17.234414924687044,51.8
Pineapple,Bangalore,Retail,Average,Summer,1.0128195000746023,0.7734392526507534,6.883139765371203,45.56
Mango,Mumbai,Retail,Good,Summer,1.4237751470783246,1.208074920694115,5.90608019544089,87.7
Watermelon,Lucknow,Mandi,Good,Spring,1.4880404474284175,0.8303475416651437,6.411374948008596,21.03
Mango,Ahmedabad,Retail,Average,Spring,1.7168062651040046,1.3565115805951642,17.518793402031456,74.06
Apple,Mumbai,Retail,Average,Spring,0.8218836795625613,1.0018072665823807,5.779262646204673,154.31
Watermelon,Ahmedabad,Wholesale,Good,Monsoon,1.7217027238834037,0.9254838198187199,7.363296552433125,18.88
Grapes,Delhi,Wholesale,Average,Summer,1.1269190475733681,1.474064441216198,15.959437664961747,118.91
Orange,Mumbai,Mandi,Good,Summer,1.0112053103795269,1.4446058604828518,22.168255036860238,123.22
Apple,Pune,Wholesale,Average,Summer,1.0665933292644423,1.1274619788244507,14.931223813661553,79.5
